		--- STARS OF CATALOGUE ---
Mu For,10320,10290,0.000000,0.579920,-0.536232
Xi-1 Cet,10324,5056,0.000000,0.580322,0.154404
? Cet,10326,4728,0.000000,0.580394,-0.366522
? Ari,10328,3718,0.000000,0.580562,0.266684
? And,10340,3829,0.000000,0.581291,0.771988
? Per,10366,4927,0.000000,0.582956,0.891267
Pi-1 Hyi,10418,3711,0.000000,0.585741,-1.184057
? Phe,10440,4828,0.000000,0.587009,-0.718496
Pi-2 Hyi,10513,4110,0.000000,0.591127,-1.182397
? Ari,10535,6299,0.000000,0.592160,0.437084
? Ari,10540,6679,0.000000,0.592397,0.449997
? Tri,10559,10175,0.000000,0.593142,0.582223
Phi Eri,10602,11920,0.000000,0.595634,-0.899057
? Cet,10642,4835,0.000000,0.597706,-0.112087
Del Tri,10644,5940,0.000000,0.598000,0.597326
Gam Tri,10670,9894,0.000000,0.599147,0.590745
? Per,10718,4358,0.000000,0.602128,1.010543
? Cet,10723,6014,0.000000,0.602243,0.030679
? Per,10729,4651,0.000000,0.602473,1.003849
The Ari,10732,9990,0.000000,0.602687,0.347341
? Tri,10793,9685,0.000000,0.606283,0.499909
? And,10819,10051,0.000000,0.607725,0.826937
? Hor,10871,3691,0.000000,0.610448,-0.976421
? And,10944,11391,0.000000,0.615097,0.875308
Del Hyi,11001,9720,0.000000,0.618501,-1.198333
? Cet,11021,3583,0.000000,0.619347,0.006906
? Cet,11029,7077,0.000000,0.619703,-0.188103
? Cet,11033,4248,0.000000,0.619954,-0.308263
? Cet,11046,7246,0.000000,0.620493,-0.015444
? Per,11060,7049,0.000000,0.621151,0.974691
Kap For,11072,5936,0.000000,0.621958,-0.415673
? And,11090,7532,0.000000,0.623251,0.722502
Kap Hyi,11095,4540,0.000000,0.623404,-1.285362
? Eri,11102,8063,0.000000,0.623567,-0.891726
? And,11220,4793,0.000000,0.630130,0.872779
Xi Ari,11249,11539,0.000000,0.631886,0.185189
Lam Hor,11258,6906,0.000000,0.632242,-1.052642
? And,11313,3746,0.000000,0.635403,0.877528
Rho Cet,11345,10475,0.000000,0.636827,-0.214509
? Cet,11348,8875,0.000000,0.637071,-0.267755
? Cet,11381,4218,0.000000,0.639606,-0.349810
Kap Eri,11407,12216,0.000000,0.641344,-0.832589
? Tri,11432,4484,0.000000,0.643428,0.555037
Phi For,11477,9135,0.000000,0.645896,-0.590114
Xi-2 Cet,11484,10838,0.000000,0.646466,0.147656
? Tri,11486,7392,0.000000,0.646498,0.517828
? Tri,11548,6003,0.000000,0.649299,0.522408
